วันที่เกิดเหตุ,จังหวัด,จำนวนอุบัติเหตุ
2024-03-08,เพชรบูรณ์,0
2024-03-08,อุตรดิตถ์,2
2024-03-08,พังงา,1
2024-03-08,สมุทรสงคราม,0
2024-03-08,ระนอง,0
2024-03-08,ยะลา,0
2024-03-08,นราธิวาส,0
2024-03-08,ชัยภูมิ,1
2024-03-08,แม่ฮ่องสอน,0
2024-03-08,อุดรธานี,3
2024-03-08,แพร่,1
2024-03-08,ลพบุรี,1
2024-03-08,เพชรบุรี,2
2024-03-08,เชียงใหม่,4
2024-03-08,เชียงราย,0
2024-03-08,อ่างทอง,0
2024-03-08,อุบลราชธานี,0
2024-03-08,อุทัยธานี,2
2024-03-08,เลย,1
2024-03-08,ร้อยเอ็ด,0
2024-03-08,สระบุรี,0
2024-03-08,ระยอง,1
2024-03-08,นครปฐม,1
2024-03-08,นครนายก,0
2024-03-08,ตาก,0
2024-03-08,ตราด,1
2024-03-08,ตรัง,1
2024-03-08,ชุมพร,1
2024-03-08,ชัยนาท,2
2024-03-08,นครพนม,0
2024-03-08,ชลบุรี,4
2024-03-08,จันทบุรี,4
2024-03-08,ขอนแก่น,2
2024-03-08,กำแพงเพชร,0
2024-03-08,กาฬสินธุ์,0
2024-03-08,กาญจนบุรี,2
2024-03-08,กรุงเทพมหานคร,7
2024-03-08,ราชบุรี,0
2024-03-08,ฉะเชิงเทรา,1
2024-03-08,นครราชสีมา,9
2024-03-08,กระบี่,0
2024-03-08,นครสวรรค์,2
2024-03-08,นครศรีธรรมราช,2
2024-03-08,มุกดาหาร,0
2024-03-08,มหาสารคาม,0
2024-03-08,ภูเก็ต,1
2024-03-08,พิษณุโลก,1
2024-03-08,พิจิตร,0
2024-03-08,พัทลุง,1
2024-03-08,พะเยา,0
2024-03-08,ยโสธร,1
2024-03-08,ปัตตานี,0
2024-03-08,ปราจีนบุรี,2
2024-03-08,ประจวบคีรีขันธ์,1
2024-03-08,ปทุมธานี,1
2024-03-08,บุรีรัมย์,1
2024-03-08,บึงกาฬ,1
2024-03-08,น่าน,3
2024-03-08,นนทบุรี,0
2024-03-09,หนองคาย,0
2024-03-09,สุโขทัย,0
2024-03-09,สุรินทร์,1
2024-03-09,สุราษฎร์ธานี,0
2024-03-09,สุพรรณบุรี,1
2024-03-09,สิงห์บุรี,1
2024-03-09,สระแก้ว,1
2024-03-09,สตูล,0
2024-03-09,สมุทรสาคร,2
2024-03-09,สมุทรปราการ,5
2024-03-09,ลำปาง,1
2024-03-09,สงขลา,2
2024-03-09,สกลนคร,2
2024-03-09,ศรีสะเกษ,1
2024-03-09,ลำพูน,0
2024-03-09,หนองบัวลำภู,0
2024-03-09,สระบุรี,2
2024-03-09,อยุธยา,1
2024-03-09,เพชรบุรี,0
2024-03-09,อุดรธานี,0
2024-03-09,ลพบุรี,1
2024-03-09,สมุทรสงคราม,0
2024-03-09,ระนอง,0
2024-03-09,ยะลา,0
2024-03-09,นราธิวาส,0
2024-03-09,ชัยภูมิ,0
2024-03-09,แม่ฮ่องสอน,0
2024-03-09,อำนาจเจริญ,0
2024-03-09,แพร่,0
2024-03-09,เพชรบูรณ์,1
2024-03-09,เชียงใหม่,3
2024-03-09,เชียงราย,2
2024-03-09,อ่างทอง,0
2024-03-09,อุบลราชธานี,0
2024-03-09,อุทัยธานี,0
2024-03-09,อุตรดิตถ์,0
2024-03-09,เลย,0
2024-03-09,ร้อยเอ็ด,1
2024-03-09,พังงา,2
2024-03-09,ระยอง,0
2024-03-09,นครปฐม,2
2024-03-09,นครนายก,0
2024-03-09,ตาก,1
2024-03-09,ตราด,1
2024-03-09,ตรัง,1
2024-03-09,ชุมพร,0
2024-03-09,ชัยนาท,1
2024-03-09,นครพนม,3
2024-03-09,ชลบุรี,8
2024-03-09,จันทบุรี,3
2024-03-09,ขอนแก่น,0
2024-03-09,กำแพงเพชร,0
2024-03-09,กาฬสินธุ์,1
2024-03-09,กาญจนบุรี,2
2024-03-09,กรุงเทพมหานคร,11
2024-03-09,กระบี่,1
2024-03-09,ฉะเชิงเทรา,0
2024-03-09,นครราชสีมา,4
2024-03-09,ราชบุรี,0
2024-03-09,นครสวรรค์,1
2024-03-09,ยโสธร,0
2024-03-09,มุกดาหาร,0
2024-03-09,มหาสารคาม,0
2024-03-09,ภูเก็ต,0
2024-03-09,นครศรีธรรมราช,4
2024-03-09,พิจิตร,0
2024-03-09,พัทลุง,0
2024-03-09,พะเยา,1
2024-03-09,พิษณุโลก,0
2024-03-09,ปราจีนบุรี,0
2024-03-09,ประจวบคีรีขันธ์,0
2024-03-09,ปทุมธานี,0
2024-03-09,บุรีรัมย์,2
2024-03-09,บึงกาฬ,0
2024-03-09,น่าน,2
2024-03-09,นนทบุรี,0
2024-03-09,ปัตตานี,1
2024-03-10,หนองคาย,0
2024-03-10,สุโขทัย,1
2024-03-10,สุรินทร์,2
2024-03-10,สุราษฎร์ธานี,0
2024-03-10,สุพรรณบุรี,4
2024-03-10,สิงห์บุรี,1
2024-03-10,สระแก้ว,1
2024-03-10,ลำปาง,0
2024-03-10,สมุทรสาคร,1
2024-03-10,สมุทรปราการ,4
2024-03-10,สตูล,0
2024-03-10,สงขลา,1
2024-03-10,สกลนคร,0
2024-03-10,ศรีสะเกษ,0
2024-03-10,ลำพูน,1
2024-03-10,หนองบัวลำภู,0
2024-03-10,สระบุรี,0
2024-03-10,อยุธยา,3
2024-03-10,เพชรบุรี,0
2024-03-10,อุดรธานี,0
2024-03-10,ลพบุรี,1
2024-03-10,สมุทรสงคราม,0
2024-03-10,ระนอง,0
2024-03-10,ยะลา,0
2024-03-10,นราธิวาส,0
2024-03-10,ชัยภูมิ,1
2024-03-10,แม่ฮ่องสอน,0
2024-03-10,อำนาจเจริญ,0
2024-03-10,แพร่,0
2024-03-10,เพชรบูรณ์,1
2024-03-10,เชียงใหม่,4
2024-03-10,เชียงราย,0
2024-03-10,อ่างทอง,0
2024-03-10,อุบลราชธานี,0
2024-03-10,อุทัยธานี,0
2024-03-10,อุตรดิตถ์,0
2024-03-10,เลย,0
2024-03-10,ร้อยเอ็ด,2
2024-03-10,พังงา,0
2024-03-10,ระยอง,1
2024-03-10,นครปฐม,0
2024-03-10,นครนายก,0
2024-03-10,ตาก,1
2024-03-10,ตราด,0
2024-03-10,ตรัง,0
2024-03-10,ชุมพร,2
2024-03-10,ชลบุรี,4
2024-03-10,นครพนม,1
2024-03-10,ฉะเชิงเทรา,1
2024-03-10,ขอนแก่น,1
2024-03-10,กำแพงเพชร,0
2024-03-10,กาฬสินธุ์,2
2024-03-10,กาญจนบุรี,2
2024-03-10,กรุงเทพมหานคร,11
2024-03-10,กระบี่,0
2024-03-10,ราชบุรี,0
2024-03-10,จันทบุรี,2
2024-03-10,นครราชสีมา,4
2024-03-10,ชัยนาท,2
2024-03-10,นครสวรรค์,0
2024-03-10,นครศรีธรรมราช,2
2024-03-10,มุกดาหาร,0
2024-03-10,มหาสารคาม,2
2024-03-10,ภูเก็ต,0
2024-03-10,พิษณุโลก,3
2024-03-10,พิจิตร,0
2024-03-10,พัทลุง,0
2024-03-10,พะเยา,0
2024-03-10,ยโสธร,0
2024-03-10,ปราจีนบุรี,0
2024-03-10,ปัตตานี,0
2024-03-10,ประจวบคีรีขันธ์,1
2024-03-10,ปทุมธานี,1
2024-03-10,บุรีรัมย์,0
2024-03-10,บึงกาฬ,0
2024-03-10,น่าน,3
2024-03-10,นนทบุรี,2
2024-03-11,หนองคาย,1
2024-03-11,สุโขทัย,0
2024-03-11,สุรินทร์,0
2024-03-11,สุราษฎร์ธานี,0
2024-03-11,สุพรรณบุรี,1
2024-03-11,สิงห์บุรี,1
2024-03-11,สระแก้ว,0
2024-03-11,สมุทรปราการ,0
2024-03-11,หนองบัวลำภู,0
2024-03-11,สตูล,0
2024-03-11,สงขลา,2
2024-03-11,สกลนคร,3
2024-03-11,ศรีสะเกษ,0
2024-03-11,ลำพูน,0
2024-03-11,ลำปาง,0
2024-03-11,สมุทรสาคร,1
2024-03-11,อยุธยา,2
2024-03-11,อุตรดิตถ์,0
2024-03-11,อุดรธานี,3
2024-03-11,พังงา,0
2024-03-11,สมุทรสงคราม,0
2024-03-11,ระนอง,0
2024-03-11,ยะลา,0
2024-03-11,นราธิวาส,1
2024-03-11,ชัยภูมิ,1
2024-03-11,แม่ฮ่องสอน,0
2024-03-11,อำนาจเจริญ,0
2024-03-11,แพร่,2
2024-03-11,เพชรบูรณ์,0
2024-03-11,เพชรบุรี,0
2024-03-11,ลพบุรี,0
2024-03-11,เชียงราย,2
2024-03-11,อ่างทอง,0
2024-03-11,อุบลราชธานี,0
2024-03-11,อุทัยธานี,1
2024-03-11,เลย,0
2024-03-11,เชียงใหม่,5
2024-03-11,สระบุรี,1
2024-03-11,ระยอง,2
2024-03-11,นครนายก,0
2024-03-11,ตาก,2
2024-03-11,ตราด,0
2024-03-11,ตรัง,0
2024-03-11,ชุมพร,1
2024-03-11,ชัยนาท,2
2024-03-11,ชลบุรี,5
2024-03-11,นครปฐม,1
2024-03-11,ฉะเชิงเทรา,0
2024-03-11,ขอนแก่น,1
2024-03-11,กำแพงเพชร,1
2024-03-11,กาฬสินธุ์,0
2024-03-11,กาญจนบุรี,0
2024-03-11,กรุงเทพมหานคร,7
2024-03-11,กระบี่,1
2024-03-11,ราชบุรี,0
2024-03-11,จันทบุรี,2
2024-03-11,นครพนม,3
2024-03-11,ร้อยเอ็ด,0
2024-03-11,นครศรีธรรมราช,2
2024-03-11,นครราชสีมา,4
2024-03-11,มุกดาหาร,0
2024-03-11,มหาสารคาม,0
2024-03-11,ภูเก็ต,0
2024-03-11,พิษณุโลก,2
2024-03-11,พิจิตร,0
2024-03-11,พัทลุง,2
2024-03-11,พะเยา,0
2024-03-11,ยโสธร,0
2024-03-11,ปราจีนบุรี,1
2024-03-11,ประจวบคีรีขันธ์,0
2024-03-11,ปทุมธานี,2
2024-03-11,บุรีรัมย์,0
2024-03-11,บึงกาฬ,0
2024-03-11,น่าน,0
2024-03-11,นนทบุรี,0
2024-03-11,ปัตตานี,0
2024-03-11,นครสวรรค์,2
2024-03-12,หนองคาย,0
2024-03-12,สุโขทัย,1
2024-03-12,สุรินทร์,1
2024-03-12,สุราษฎร์ธานี,0
2024-03-12,สุพรรณบุรี,1
2024-03-12,สิงห์บุรี,0
2024-03-12,สระแก้ว,0
2024-03-12,สตูล,0
2024-03-12,สมุทรสาคร,4
2024-03-12,สมุทรปราการ,1
2024-03-12,สงขลา,1
2024-03-12,สกลนคร,0
2024-03-12,ศรีสะเกษ,0
2024-03-12,ลำพูน,0
2024-03-12,หนองบัวลำภู,0
2024-03-12,ลำปาง,0
2024-03-12,สระบุรี,2
2024-03-12,อยุธยา,2
2024-03-12,เพชรบุรี,1
2024-03-12,อุดรธานี,0
2024-03-12,ลพบุรี,0
2024-03-12,สมุทรสงคราม,1
2024-03-12,ระนอง,0
2024-03-12,ยะลา,1
2024-03-12,นราธิวาส,0
2024-03-12,ชัยภูมิ,1
2024-03-12,แม่ฮ่องสอน,0
2024-03-12,อำนาจเจริญ,0
2024-03-12,แพร่,2
2024-03-12,เพชรบูรณ์,1
2024-03-12,เชียงใหม่,3
2024-03-12,เชียงราย,0
2024-03-12,อ่างทอง,2
2024-03-12,อุบลราชธานี,0
2024-03-12,อุทัยธานี,0
2024-03-12,อุตรดิตถ์,1
2024-03-12,เลย,5
2024-03-12,พังงา,1
2024-03-12,ร้อยเอ็ด,1
2024-03-12,ระยอง,0
2024-03-12,นครปฐม,0
2024-03-12,นครนายก,1
2024-03-12,ตาก,0
2024-03-12,ตราด,0
2024-03-12,ตรัง,3
2024-03-12,ชุมพร,0
2024-03-12,ชัยนาท,2
2024-03-12,นครพนม,0
2024-03-12,ชลบุรี,3
2024-03-12,จันทบุรี,3
2024-03-12,ขอนแก่น,1
2024-03-12,กำแพงเพชร,2
2024-03-12,กาฬสินธุ์,1
2024-03-12,กาญจนบุรี,1
2024-03-12,กรุงเทพมหานคร,8
2024-03-12,กระบี่,0
2024-03-12,ฉะเชิงเทรา,0
2024-03-12,นครราชสีมา,4
2024-03-12,ราชบุรี,0
2024-03-12,นครสวรรค์,0
2024-03-12,ยโสธร,1
2024-03-12,มุกดาหาร,0
2024-03-12,มหาสารคาม,0
2024-03-12,ภูเก็ต,0
2024-03-12,นครศรีธรรมราช,2
2024-03-12,พิจิตร,0
2024-03-12,พัทลุง,0
2024-03-12,พะเยา,0
2024-03-12,พิษณุโลก,2
2024-03-12,ปราจีนบุรี,2
2024-03-12,ประจวบคีรีขันธ์,1
2024-03-12,ปทุมธานี,1
2024-03-12,บุรีรัมย์,0
2024-03-12,บึงกาฬ,0
2024-03-12,น่าน,0
2024-03-12,นนทบุรี,1
2024-03-12,ปัตตานี,0
2024-03-13,หนองบัวลำภู,0
2024-03-13,หนองคาย,0
2024-03-13,สุโขทัย,0
2024-03-13,สุรินทร์,0
2024-03-13,สุราษฎร์ธานี,3
2024-03-13,สุพรรณบุรี,1
2024-03-13,สิงห์บุรี,1
2024-03-13,ลำพูน,0
2024-03-13,สระบุรี,0
2024-03-13,สมุทรสาคร,0
2024-03-13,สมุทรปราการ,1
2024-03-13,สตูล,0
2024-03-13,สงขลา,2
2024-03-13,สกลนคร,0
2024-03-13,ศรีสะเกษ,0
2024-03-13,อยุธยา,1
2024-03-13,สระแก้ว,2
2024-03-13,อำนาจเจริญ,0
2024-03-13,เพชรบูรณ์,1
2024-03-13,อุตรดิตถ์,1
2024-03-13,ลำปาง,0
2024-03-13,พังงา,0
2024-03-13,สมุทรสงคราม,0
2024-03-13,ระนอง,0
2024-03-13,ยะลา,1
2024-03-13,นราธิวาส,0
2024-03-13,ชัยภูมิ,1
2024-03-13,อุดรธานี,0
2024-03-13,แม่ฮ่องสอน,0
2024-03-13,เลย,2
2024-03-13,เพชรบุรี,0
2024-03-13,เชียงใหม่,0
2024-03-13,เชียงราย,1
2024-03-13,อ่างทอง,0
2024-03-13,อุบลราชธานี,1
2024-03-13,อุทัยธานี,0
2024-03-13,แพร่,0
2024-03-13,ลพบุรี,1
2024-03-13,ร้อยเอ็ด,3
2024-03-13,ราชบุรี,1
2024-03-13,นครพนม,0
2024-03-13,นครปฐม,0
2024-03-13,นครนายก,0
2024-03-13,ตาก,4
2024-03-13,ตราด,0
2024-03-13,ตรัง,1
2024-03-13,ชุมพร,0
2024-03-13,นครราชสีมา,5
2024-03-13,ชัยนาท,0
2024-03-13,ฉะเชิงเทรา,5
2024-03-13,จันทบุรี,0
2024-03-13,ขอนแก่น,2
2024-03-13,กำแพงเพชร,0
2024-03-13,กาฬสินธุ์,0
2024-03-13,กาญจนบุรี,1
2024-03-13,กรุงเทพมหานคร,9
2024-03-13,ชลบุรี,2
2024-03-13,นครศรีธรรมราช,3
2024-03-13,กระบี่,0
2024-03-13,นนทบุรี,0
2024-03-13,ระยอง,1
2024-03-13,ยโสธร,0
2024-03-13,มุกดาหาร,0
2024-03-13,มหาสารคาม,0
2024-03-13,นครสวรรค์,1
2024-03-13,พิษณุโลก,0
2024-03-13,พิจิตร,0
2024-03-13,พัทลุง,0
2024-03-13,ภูเก็ต,0
2024-03-13,ปัตตานี,0
2024-03-13,ปราจีนบุรี,0
2024-03-13,ประจวบคีรีขันธ์,0
2024-03-13,ปทุมธานี,2
2024-03-13,บุรีรัมย์,0
2024-03-13,บึงกาฬ,0
2024-03-13,น่าน,0
2024-03-13,พะเยา,0
2024-03-14,หนองคาย,0
2024-03-14,สุโขทัย,2
2024-03-14,สุรินทร์,3
2024-03-14,สุราษฎร์ธานี,1
2024-03-14,สุพรรณบุรี,0
2024-03-14,สิงห์บุรี,0
2024-03-14,สระแก้ว,0
2024-03-14,ลำปาง,0
2024-03-14,สมุทรสาคร,0
2024-03-14,สมุทรปราการ,6
2024-03-14,สตูล,0
2024-03-14,สงขลา,3
2024-03-14,สกลนคร,0
2024-03-14,ศรีสะเกษ,0
2024-03-14,ลำพูน,1
2024-03-14,หนองบัวลำภู,0
2024-03-14,สระบุรี,2
2024-03-14,อยุธยา,1
2024-03-14,เพชรบุรี,1
2024-03-14,อุดรธานี,0
2024-03-14,ลพบุรี,0
2024-03-14,สมุทรสงคราม,2
2024-03-14,ระนอง,0
2024-03-14,ยะลา,0
2024-03-14,นราธิวาส,0
2024-03-14,ชัยภูมิ,0
2024-03-14,แม่ฮ่องสอน,0
2024-03-14,อำนาจเจริญ,0
2024-03-14,แพร่,1
2024-03-14,เพชรบูรณ์,0
2024-03-14,เชียงใหม่,1
2024-03-14,เชียงราย,0
2024-03-14,อ่างทอง,2
2024-03-14,อุบลราชธานี,1
2024-03-14,อุทัยธานี,1
2024-03-14,อุตรดิตถ์,3
2024-03-14,เลย,0
2024-03-14,ร้อยเอ็ด,2
2024-03-14,พังงา,0
2024-03-14,ระยอง,0
2024-03-14,นครปฐม,0
2024-03-14,นครนายก,1
2024-03-14,ตาก,1
2024-03-14,ตราด,1
2024-03-14,ตรัง,3
2024-03-14,ชุมพร,0
2024-03-14,ชัยนาท,2
2024-03-14,นครพนม,0
2024-03-14,ชลบุรี,5
2024-03-14,จันทบุรี,0
2024-03-14,ขอนแก่น,0
2024-03-14,กำแพงเพชร,0
2024-03-14,กาฬสินธุ์,0
2024-03-14,กาญจนบุรี,0
2024-03-14,กรุงเทพมหานคร,11
2024-03-14,กระบี่,1
2024-03-14,ฉะเชิงเทรา,1
2024-03-14,นครราชสีมา,2
2024-03-14,ราชบุรี,1
2024-03-14,นครสวรรค์,0
2024-03-14,ยโสธร,1
2024-03-14,มุกดาหาร,0
2024-03-14,มหาสารคาม,2
2024-03-14,ภูเก็ต,0
2024-03-14,นครศรีธรรมราช,0
2024-03-14,พิจิตร,0
2024-03-14,พัทลุง,2
2024-03-14,พะเยา,0
2024-03-14,พิษณุโลก,1
2024-03-14,ปราจีนบุรี,0
2024-03-14,ประจวบคีรีขันธ์,0
2024-03-14,ปทุมธานี,1
2024-03-14,บุรีรัมย์,1
2024-03-14,บึงกาฬ,1
2024-03-14,น่าน,0
2024-03-14,นนทบุรี,2
2024-03-14,ปัตตานี,1
2024-03-15,หนองคาย,0
2024-03-15,สุโขทัย,1
2024-03-15,สุรินทร์,0
2024-03-15,สุราษฎร์ธานี,3
2024-03-15,สุพรรณบุรี,0
2024-03-15,สิงห์บุรี,0
2024-03-15,สระแก้ว,2
2024-03-15,ลำปาง,0
2024-03-15,สมุทรสาคร,3
2024-03-15,สมุทรปราการ,1
2024-03-15,สตูล,0
2024-03-15,สงขลา,1
2024-03-15,สกลนคร,2
2024-03-15,ศรีสะเกษ,1
2024-03-15,ลำพูน,1
2024-03-15,หนองบัวลำภู,0
2024-03-15,สระบุรี,0
2024-03-15,อยุธยา,1
2024-03-15,เพชรบุรี,0
2024-03-15,อุดรธานี,2
2024-03-15,ลพบุรี,4
2024-03-15,สมุทรสงคราม,0
2024-03-15,ระนอง,0
2024-03-15,ยะลา,0
2024-03-15,นราธิวาส,0
2024-03-15,ชัยภูมิ,1
2024-03-15,แม่ฮ่องสอน,0
2024-03-15,อำนาจเจริญ,0
2024-03-15,แพร่,1
2024-03-15,เพชรบูรณ์,2
2024-03-15,เชียงใหม่,6
2024-03-15,เชียงราย,1
2024-03-15,อ่างทอง,0
2024-03-15,อุบลราชธานี,1
2024-03-15,อุทัยธานี,1
2024-03-15,อุตรดิตถ์,2
2024-03-15,เลย,1
2024-03-15,ร้อยเอ็ด,0
2024-03-15,พังงา,0
2024-03-15,ระยอง,0
2024-03-15,นครปฐม,0
2024-03-15,นครนายก,0
2024-03-15,ตาก,0
2024-03-15,ตราด,1
2024-03-15,ตรัง,2
2024-03-15,ชุมพร,0
2024-03-15,ชัยนาท,0
2024-03-15,นครพนม,0
2024-03-15,ชลบุรี,2
2024-03-15,จันทบุรี,1
2024-03-15,ขอนแก่น,0
2024-03-15,กำแพงเพชร,3
2024-03-15,กาฬสินธุ์,0
2024-03-15,กาญจนบุรี,1
2024-03-15,กรุงเทพมหานคร,8
2024-03-15,กระบี่,1
2024-03-15,ฉะเชิงเทรา,1
2024-03-15,นครราชสีมา,3
2024-03-15,ราชบุรี,1
2024-03-15,นครสวรรค์,1
2024-03-15,ยโสธร,0
2024-03-15,มุกดาหาร,0
2024-03-15,มหาสารคาม,1
2024-03-15,ภูเก็ต,2
2024-03-15,นครศรีธรรมราช,2
2024-03-15,พิจิตร,0
2024-03-15,พัทลุง,0
2024-03-15,พะเยา,1
2024-03-15,พิษณุโลก,0
2024-03-15,ปราจีนบุรี,0
2024-03-15,ประจวบคีรีขันธ์,2
2024-03-15,ปทุมธานี,1
2024-03-15,บุรีรัมย์,0
2024-03-15,บึงกาฬ,0
2024-03-15,น่าน,2
2024-03-15,นนทบุรี,0
2024-03-15,ปัตตานี,0
2024-03-16,หนองคาย,0
2024-03-16,สุโขทัย,2
2024-03-16,สุรินทร์,1
2024-03-16,สุราษฎร์ธานี,1
2024-03-16,สุพรรณบุรี,1
2024-03-16,สิงห์บุรี,2
2024-03-16,สระแก้ว,1
2024-03-16,ลำปาง,0
2024-03-16,สมุทรสาคร,2
2024-03-16,สมุทรปราการ,2
2024-03-16,สตูล,0
2024-03-16,สงขลา,2
2024-03-16,สกลนคร,1
2024-03-16,ศรีสะเกษ,0
2024-03-16,ลำพูน,0
2024-03-16,หนองบัวลำภู,1
2024-03-16,สระบุรี,1
2024-03-16,อยุธยา,1
2024-03-16,เพชรบุรี,0
2024-03-16,อุดรธานี,1
2024-03-16,ลพบุรี,0
2024-03-16,สมุทรสงคราม,0
2024-03-16,ระนอง,0
2024-03-16,ยะลา,0
2024-03-16,นราธิวาส,2
2024-03-16,ชัยภูมิ,1
2024-03-16,แม่ฮ่องสอน,0
2024-03-16,อำนาจเจริญ,0
2024-03-16,แพร่,1
2024-03-16,เพชรบูรณ์,2
2024-03-16,เชียงใหม่,1
2024-03-16,เชียงราย,0
2024-03-16,อ่างทอง,0
2024-03-16,อุบลราชธานี,1
2024-03-16,อุทัยธานี,0
2024-03-16,อุตรดิตถ์,0
2024-03-16,เลย,0
2024-03-16,พังงา,0
2024-03-16,ร้อยเอ็ด,4
2024-03-16,ระยอง,1
2024-03-16,นครปฐม,1
2024-03-16,นครนายก,0
2024-03-16,ตาก,3
2024-03-16,ตราด,1
2024-03-16,ตรัง,0
2024-03-16,ชุมพร,1
2024-03-16,ชลบุรี,4
2024-03-16,นครพนม,1
2024-03-16,ฉะเชิงเทรา,1
2024-03-16,ขอนแก่น,1
2024-03-16,กำแพงเพชร,2
2024-03-16,กาฬสินธุ์,0
2024-03-16,กาญจนบุรี,0
2024-03-16,กรุงเทพมหานคร,9
2024-03-16,กระบี่,0
2024-03-16,ราชบุรี,1
2024-03-16,จันทบุรี,1
2024-03-16,นครราชสีมา,3
2024-03-16,ชัยนาท,1
2024-03-16,นครสวรรค์,1
2024-03-16,นครศรีธรรมราช,1
2024-03-16,มุกดาหาร,0
2024-03-16,มหาสารคาม,1
2024-03-16,ภูเก็ต,0
2024-03-16,พิษณุโลก,1
2024-03-16,พิจิตร,0
2024-03-16,พัทลุง,0
2024-03-16,พะเยา,0
2024-03-16,ยโสธร,0
2024-03-16,ปราจีนบุรี,0
2024-03-16,ประจวบคีรีขันธ์,1
2024-03-16,ปทุมธานี,1
2024-03-16,บุรีรัมย์,0
2024-03-16,บึงกาฬ,0
2024-03-16,น่าน,2
2024-03-16,นนทบุรี,1
2024-03-16,ปัตตานี,0
2024-03-17,หนองบัวลำภู,0
2024-03-17,หนองคาย,0
2024-03-17,สุโขทัย,2
2024-03-17,สุรินทร์,3
2024-03-17,สุราษฎร์ธานี,3
2024-03-17,สุพรรณบุรี,0
2024-03-17,สิงห์บุรี,1
2024-03-17,สระแก้ว,0
2024-03-17,สตูล,0
2024-03-17,สมุทรสาคร,2
2024-03-17,สมุทรปราการ,2
2024-03-17,สงขลา,0
2024-03-17,สกลนคร,0
2024-03-17,ศรีสะเกษ,1
2024-03-17,ลำพูน,0
2024-03-17,อยุธยา,1
2024-03-17,สระบุรี,0
2024-03-17,อำนาจเจริญ,0
2024-03-17,ลำปาง,2
2024-03-17,อุตรดิตถ์,2
2024-03-17,พังงา,0
2024-03-17,สมุทรสงคราม,1
2024-03-17,ระนอง,0
2024-03-17,ยะลา,1
2024-03-17,นราธิวาส,0
2024-03-17,ชัยภูมิ,0
2024-03-17,แม่ฮ่องสอน,0
2024-03-17,อุดรธานี,1
2024-03-17,แพร่,0
2024-03-17,เพชรบูรณ์,1
2024-03-17,เพชรบุรี,0
2024-03-17,เชียงใหม่,3
2024-03-17,เชียงราย,0
2024-03-17,อ่างทอง,1
2024-03-17,อุบลราชธานี,2
2024-03-17,อุทัยธานี,0
2024-03-17,เลย,1
2024-03-17,ลพบุรี,1
2024-03-17,นครศรีธรรมราช,2
2024-03-17,ราชบุรี,0
2024-03-17,นครปฐม,2
2024-03-17,นครนายก,0
2024-03-17,ตาก,2
2024-03-17,ตราด,1
2024-03-17,ตรัง,1
2024-03-17,ชุมพร,1
2024-03-17,ชัยนาท,0
2024-03-17,นครพนม,0
2024-03-17,ชลบุรี,6
2024-03-17,จันทบุรี,0
2024-03-17,ขอนแก่น,0
2024-03-17,กำแพงเพชร,0
2024-03-17,กาฬสินธุ์,1
2024-03-17,กาญจนบุรี,1
2024-03-17,กรุงเทพมหานคร,9
2024-03-17,กระบี่,0
2024-03-17,ฉะเชิงเทรา,0
2024-03-17,นครราชสีมา,2
2024-03-17,ร้อยเอ็ด,0
2024-03-17,นครสวรรค์,1
2024-03-17,ยโสธร,1
2024-03-17,มุกดาหาร,0
2024-03-17,มหาสารคาม,3
2024-03-17,ภูเก็ต,0
2024-03-17,พิษณุโลก,0
2024-03-17,พิจิตร,0
2024-03-17,พัทลุง,0
2024-03-17,พะเยา,1
2024-03-17,ระยอง,0
2024-03-17,ปราจีนบุรี,2
2024-03-17,ประจวบคีรีขันธ์,1
2024-03-17,ปทุมธานี,1
2024-03-17,บุรีรัมย์,0
2024-03-17,บึงกาฬ,0
2024-03-17,น่าน,0
2024-03-17,นนทบุรี,0
2024-03-17,ปัตตานี,0
2024-03-18,หนองบัวลำภู,0
2024-03-18,หนองคาย,0
2024-03-18,สุโขทัย,2
2024-03-18,สุรินทร์,0
2024-03-18,สุราษฎร์ธานี,0
2024-03-18,สุพรรณบุรี,0
2024-03-18,สิงห์บุรี,0
2024-03-18,สระแก้ว,0
2024-03-18,สงขลา,0
2024-03-18,สมุทรปราการ,0
2024-03-18,สตูล,2
2024-03-18,สกลนคร,0
2024-03-18,ศรีสะเกษ,1
2024-03-18,ลำพูน,1
2024-03-18,ลำปาง,0
2024-03-18,อยุธยา,1
2024-03-18,สมุทรสาคร,1
2024-03-18,อำนาจเจริญ,1
2024-03-18,เพชรบูรณ์,1
2024-03-18,อุตรดิตถ์,1
2024-03-18,พังงา,1
2024-03-18,สมุทรสงคราม,0
2024-03-18,ระนอง,0
2024-03-18,ยะลา,0
2024-03-18,นราธิวาส,1
2024-03-18,ชัยภูมิ,0
2024-03-18,แม่ฮ่องสอน,0
2024-03-18,อุดรธานี,1
2024-03-18,แพร่,3
2024-03-18,ลพบุรี,1
2024-03-18,เพชรบุรี,2
2024-03-18,เชียงใหม่,0
2024-03-18,เชียงราย,0
2024-03-18,อ่างทอง,0
2024-03-18,อุบลราชธานี,0
2024-03-18,อุทัยธานี,1
2024-03-18,เลย,2
2024-03-18,ร้อยเอ็ด,0
2024-03-18,สระบุรี,0
2024-03-18,ระยอง,1
2024-03-18,นครปฐม,0
2024-03-18,นครนายก,0
2024-03-18,ตาก,0
2024-03-18,ตราด,0
2024-03-18,ตรัง,0
2024-03-18,ชุมพร,0
2024-03-18,ชัยนาท,1
