วันที่เกิดเหตุ,จังหวัด,จำนวนอุบัติเหตุ
2024-01-03,สุรินทร์,0
2024-01-03,สุราษฎร์ธานี,5
2024-01-03,สุพรรณบุรี,14
2024-01-03,สิงห์บุรี,3
2024-01-03,สระแก้ว,2
2024-01-03,สตูล,1
2024-01-03,สมุทรสาคร,2
2024-01-03,สมุทรปราการ,4
2024-01-03,สงขลา,3
2024-01-03,สกลนคร,6
2024-01-03,ศรีสะเกษ,1
2024-01-03,ลำพูน,5
2024-01-03,อยุธยา,8
2024-01-03,สระบุรี,2
2024-01-03,อำนาจเจริญ,0
2024-01-03,เพชรบูรณ์,0
2024-01-03,อุตรดิตถ์,3
2024-01-03,พังงา,1
2024-01-03,สมุทรสงคราม,1
2024-01-03,ระนอง,1
2024-01-03,ยะลา,0
2024-01-03,นราธิวาส,2
2024-01-03,ชัยภูมิ,1
2024-01-03,แม่ฮ่องสอน,3
2024-01-03,อุดรธานี,2
2024-01-03,แพร่,3
2024-01-03,ลำปาง,2
2024-01-03,เพชรบุรี,1
2024-01-03,เชียงใหม่,2
2024-01-03,เชียงราย,2
2024-01-03,อ่างทอง,0
2024-01-03,อุบลราชธานี,1
2024-01-03,อุทัยธานี,2
2024-01-03,เลย,2
2024-01-03,ลพบุรี,2
2024-01-03,นครศรีธรรมราช,10
2024-01-03,ราชบุรี,4
2024-01-03,นครปฐม,5
2024-01-03,นครนายก,1
2024-01-03,ตาก,3
2024-01-03,ตราด,3
2024-01-03,ตรัง,3
2024-01-03,ชุมพร,4
2024-01-03,ชัยนาท,2
2024-01-03,ชลบุรี,7
2024-01-03,ฉะเชิงเทรา,5
2024-01-03,จันทบุรี,2
2024-01-03,ขอนแก่น,6
2024-01-03,กำแพงเพชร,2
2024-01-03,กาฬสินธุ์,0
2024-01-03,กาญจนบุรี,2
2024-01-03,กรุงเทพมหานคร,14
2024-01-03,นครพนม,0
2024-01-03,นครราชสีมา,2
2024-01-03,กระบี่,2
2024-01-03,ร้อยเอ็ด,1
2024-01-03,ระยอง,2
2024-01-03,ยโสธร,0
2024-01-03,มุกดาหาร,1
2024-01-03,มหาสารคาม,3
2024-01-03,ภูเก็ต,6
2024-01-03,นครสวรรค์,3
2024-01-03,พิจิตร,0
2024-01-03,พัทลุง,2
2024-01-03,พิษณุโลก,3
2024-01-03,ปัตตานี,0
2024-01-03,ปราจีนบุรี,5
2024-01-03,ประจวบคีรีขันธ์,2
2024-01-03,ปทุมธานี,3
2024-01-03,บุรีรัมย์,0
2024-01-03,บึงกาฬ,0
2024-01-03,น่าน,2
2024-01-03,นนทบุรี,0
2024-01-03,พะเยา,5
2024-01-04,หนองคาย,0
2024-01-04,สุโขทัย,0
2024-01-04,สุรินทร์,1
2024-01-04,สุราษฎร์ธานี,4
2024-01-04,สุพรรณบุรี,7
2024-01-04,สิงห์บุรี,1
2024-01-04,สระแก้ว,0
2024-01-04,ลำปาง,2
2024-01-04,สมุทรสาคร,1
2024-01-04,สมุทรปราการ,4
2024-01-04,สตูล,0
2024-01-04,สงขลา,2
2024-01-04,สกลนคร,1
2024-01-04,ศรีสะเกษ,0
2024-01-04,ลำพูน,2
